r53_Name,r53_ResourceRecordsValue
gds-email-campaign-prod-rw.prod.us-west-1.aws.groupondev.com,email-campaign-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-epds-prod-ro.prod.us-west-1.aws.groupondev.com,epds-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-epds-prod-rw.prod.us-west-1.aws.groupondev.com,epds-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-expiring-deals-prod-ro.prod.us-west-1.aws.groupondev.com,expiring-deals-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-expiring-deals-prod-rw.prod.us-west-1.aws.groupondev.com,expiring-deals-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-fingerprint-prod-ro.prod.us-west-1.aws.groupondev.com,fingerprint-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-fingerprint-prod-rw.prod.us-west-1.aws.groupondev.com,fingerprint-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-gdoop-hue-prod-ro.prod.us-west-1.aws.groupondev.com,gdoop-hue-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-gdoop-hue-prod-rw.prod.us-west-1.aws.groupondev.com,gdoop-hue-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-gdoop-oozie-prod-ro.prod.us-west-1.aws.groupondev.com,gdoop-oozie-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-gdoop-oozie-prod-rw.prod.us-west-1.aws.groupondev.com,gdoop-oozie-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-gdt-automation-prod-ro.prod.us-west-1.aws.groupondev.com,gdt-automation-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-gdt-automation-prod-rw.prod.us-west-1.aws.groupondev.com,gdt-automation-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-general-ledger-gway-ro.prod.us-west-1.aws.groupondev.com,pg-noncore-us-054-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-general-ledger-gway-rw.prod.us-west-1.aws.groupondev.com,pg-noncore-us-054-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-getaways-content-prod-ro.prod.us-west-1.aws.groupondev.com,getaways-content-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-getaways-content-prod-rw.prod.us-west-1.aws.groupondev.com,getaways-content-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-getaways-geo-prod-ro.prod.us-west-1.aws.groupondev.com,getaways-geo-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-getaways-geo-prod-rw.prod.us-west-1.aws.groupondev.com,getaways-geo-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-getaways-maris-prod-ro.prod.us-west-1.aws.groupondev.com,getaways-maris-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-getaways-maris-prod-rw.prod.us-west-1.aws.groupondev.com,getaways-maris-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-getaways-supply-prod-ro.prod.us-west-1.aws.groupondev.com,getaways-supply-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-getaways-supply-prod-rw.prod.us-west-1.aws.groupondev.com,getaways-supply-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-giftcard-prod-ro.prod.us-west-1.aws.groupondev.com,giftcard-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-giftcard-prod-rw.prod.us-west-1.aws.groupondev.com,giftcard-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-gl-customfieldsapp-ro.prod.us-west-1.aws.groupondev.com,customfieldapp-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-gl-customfieldsapp-rw.prod.us-west-1.aws.groupondev.com,customfieldapp-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-glive-3rd-party-prod-ro.prod.us-west-1.aws.groupondev.com,glive-3rd-party-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-glive-3rd-party-prod-rw.prod.us-west-1.aws.groupondev.com,glive-3rd-party-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-glive-gia-prod-ro.prod.us-west-1.aws.groupondev.com,glive-gia-prod-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-glive-gia-prod-rw.prod.us-west-1.aws.groupondev.com,glive-gia-prod-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-glive-inventory-prod-ro.prod.us-west-1.aws.groupondev.com,glive-inventory-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-glive-inventory-prod-rw.prod.us-west-1.aws.groupondev.com,glive-inventory-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-global-subscription-service-prod-ro.prod.us-west-1.aws.groupondev.com,global-subscription-service-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-global-subscription-service-prod-rw.prod.us-west-1.aws.groupondev.com,global-subscription-service-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-god-dashboard-prod-ro.prod.us-west-1.aws.groupondev.com,god-dashboard-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-god-dashboard-prod-rw.prod.us-west-1.aws.groupondev.com,god-dashboard-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-goods-cart-svc-prod-ro.prod.us-west-1.aws.groupondev.com,goods-cart-svc-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-goods-cart-svc-prod-rw.prod.us-west-1.aws.groupondev.com,goods-cart-svc-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-goods-deletion-prod-ro.prod.us-west-1.aws.groupondev.com,goods-deletion-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-goods-deletion-prod-rw.prod.us-west-1.aws.groupondev.com,goods-deletion-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-goods-inv-s-r-prod-ro.prod.us-west-1.aws.groupondev.com,goods-inv-s-r-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-goods-inv-s-r-prod-rw.prod.us-west-1.aws.groupondev.com,goods-inv-s-r-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-goods-inv-svc-prod-ro.prod.us-west-1.aws.groupondev.com,goods-inv-svc-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-goods-inv-svc-prod-rw.prod.us-west-1.aws.groupondev.com,goods-inv-svc-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-goods-inv-svc-ro.prod.us-west-1.aws.groupondev.com,goods-inv-svc-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-goods-inv-svc-rw.prod.us-west-1.aws.groupondev.com,goods-inv-svc-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-goods-invoicing-prod-ro.prod.us-west-1.aws.groupondev.com,goods-invoicing-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-goods-invoicing-prod-rw.prod.us-west-1.aws.groupondev.com,goods-invoicing-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-goods-jobsch-prod-ro.prod.us-west-1.aws.groupondev.com,goods-jobsch-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-goods-jobsch-prod-rw.prod.us-west-1.aws.groupondev.com,goods-jobsch-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
