DBClusterIdentifier	Endpoint	Status	EndpointType
aflrta-prod	aflrta-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
ultron-prod	ultron-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
ultron-prod	ultron-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
editorial	editorial.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
editorial	editorial.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
cons-data-svc-prod	cons-data-svc-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
cons-data-svc-prod	cons-data-svc-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
orders-prod	orders-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
orders-prod	orders-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
my-noncore-gl-441-prod	my-noncore-gl-441-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
my-noncore-gl-441-prod	my-noncore-gl-441-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
autocomplete-prod	autocomplete-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
autocomplete-prod	autocomplete-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
email-search-prod	email-search-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
email-search-prod	email-search-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
deal-management-prod	deal-management-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
deal-management-prod	deal-management-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
