InstanceConfig,Price_With_rep($/Month)
7 x cache.r5.large,1008.0
39 x cache.t2.micro,1010.8799999999999
39 x cache.t3.micro,1010.8799999999999
21 x cache.t4g.small,1028.16
42 x cache.t4g.micro,1028.16
11 x cache.m5.large,1029.6000000000001
10 x cache.t3.medium,1036.8000000000002
20 x cache.t2.small,1036.8000000000002
20 x cache.t3.small,1036.8000000000002
40 x cache.t2.micro,1036.8000000000002
40 x cache.t3.micro,1036.8000000000002
3 x cache.r5.large,1041.1200000000001
10 x cache.t2.medium,1051.2
43 x cache.t4g.micro,1052.6400000000003
41 x cache.t2.micro,1062.72
41 x cache.t3.micro,1062.72
11 x cache.t4g.medium,1077.12
22 x cache.t4g.small,1077.12
44 x cache.t4g.micro,1077.12
21 x cache.t2.small,1088.6399999999999
21 x cache.t3.small,1088.6399999999999
42 x cache.t2.micro,1088.6399999999999
42 x cache.t3.micro,1088.6399999999999
3 x cache.r4.large,1097.28
45 x cache.t4g.micro,1101.6
43 x cache.t2.micro,1114.5599999999997
43 x cache.t3.micro,1114.5599999999997
3 x cache.m5.2xlarge,1114.56
6 x cache.m5.xlarge,1114.56
12 x cache.m5.large,1123.1999999999998
23 x cache.t4g.small,1126.08
46 x cache.t4g.micro,1126.08
11 x cache.t3.medium,1140.48
22 x cache.t2.small,1140.48
22 x cache.t3.small,1140.48
44 x cache.t2.micro,1140.48
44 x cache.t3.micro,1140.48
4 x cache.r5.xlarge,1140.4800000000002
1 x cache.r5.4xlarge,1141.92
2 x cache.r5.2xlarge,1143.3600000000001
47 x cache.t4g.micro,1150.5600000000002
8 x cache.r5.large,1152.0000000000002
11 x cache.t2.medium,1156.32
45 x cache.t2.micro,1166.3999999999999
45 x cache.t3.micro,1166.3999999999999
12 x cache.t4g.medium,1175.0400000000002
24 x cache.t4g.small,1175.0400000000002
48 x cache.t4g.micro,1175.0400000000002
5 x cache.m6g.large,1180.8
23 x cache.t2.small,1192.32
23 x cache.t3.small,1192.32
46 x cache.t2.micro,1192.32
46 x cache.t3.micro,1192.32
49 x cache.t4g.micro,1199.52
13 x cache.m5.large,1216.8000000000002
47 x cache.t2.micro,1218.24
47 x cache.t3.micro,1218.24
25 x cache.t4g.small,1224.0000000000002
50 x cache.t4g.micro,1224.0000000000002
5 x cache.m5.large,1238.3999999999999
5 x cache.m4.large,1238.3999999999999
12 x cache.t3.medium,1244.1599999999999
24 x cache.t2.small,1244.1599999999999
24 x cache.t3.small,1244.1599999999999
48 x cache.t2.micro,1244.1599999999999
48 x cache.t3.micro,1244.1599999999999
51 x cache.t4g.micro,1248.4800000000002
1 x cache.r6gd.xlarge,1252.8
12 x cache.t2.medium,1261.4399999999998
49 x cache.t2.micro,1270.08
49 x cache.t3.micro,1270.08
13 x cache.t4g.medium,1272.96
26 x cache.t4g.small,1272.96
52 x cache.t4g.micro,1272.96
25 x cache.t2.small,1295.9999999999998
25 x cache.t3.small,1295.9999999999998
50 x cache.t2.micro,1295.9999999999998
50 x cache.t3.micro,1295.9999999999998
9 x cache.r5.large,1296.0
53 x cache.t4g.micro,1297.44
7 x cache.m5.xlarge,1300.32
14 x cache.m5.large,1310.4
1 x cache.r6g.2xlarge,1319.0400000000002
2 x cache.r6g.xlarge,1319.0400000000002
4 x cache.r6g.large,1319.0400000000002
51 x cache.t2.micro,1321.9199999999998
51 x cache.t3.micro,1321.9199999999998
27 x cache.t4g.small,1321.92
54 x cache.t4g.micro,1321.92
55 x cache.t4g.micro,1346.4
13 x cache.t3.medium,1347.84
26 x cache.t2.small,1347.84
26 x cache.t3.small,1347.84
52 x cache.t2.micro,1347.84
52 x cache.t3.micro,1347.84
13 x cache.t2.medium,1366.56
14 x cache.t4g.medium,1370.88
28 x cache.t4g.small,1370.88
56 x cache.t4g.micro,1370.88
53 x cache.t2.micro,1373.76
53 x cache.t3.micro,1373.76
2 x cache.r5.xlarge,1382.3999999999999
1 x cache.r5.2xlarge,1383.84
4 x cache.r5.large,1388.1599999999999
57 x cache.t4g.micro,1395.3600000000001
27 x cache.t2.small,1399.68
27 x cache.t3.small,1399.68
54 x cache.t2.micro,1399.68
54 x cache.t3.micro,1399.68
15 x cache.m5.large,1404.0000000000002
3 x cache.m6g.xlarge,1412.6400000000003
6 x cache.m6g.large,1416.96
29 x cache.t4g.small,1419.8400000000001
58 x cache.t4g.micro,1419.8400000000001
5 x cache.r5.xlarge,1425.6
55 x cache.t2.micro,1425.6
55 x cache.t3.micro,1425.6
10 x cache.r5.large,1440.0
59 x cache.t4g.micro,1444.3200000000002
14 x cache.t3.medium,1451.52
28 x cache.t2.small,1451.52
28 x cache.t3.small,1451.52
56 x cache.t2.micro,1451.52
56 x cache.t3.micro,1451.52
1 x cache.r4.2xlarge,1460.1599999999999
2 x cache.r4.xlarge,1460.1599999999999
4 x cache.r4.large,1463.04
15 x cache.t4g.medium,1468.8
30 x cache.t4g.small,1468.8
60 x cache.t4g.micro,1468.8
14 x cache.t2.medium,1471.6799999999998
57 x cache.t2.micro,1477.44
57 x cache.t3.micro,1477.44
3 x cache.m5.xlarge,1481.7600000000002
3 x cache.m4.xlarge,1481.7600000000002
4 x cache.m5.2xlarge,1486.08
6 x cache.m5.large,1486.08
6 x cache.m4.large,1486.08
8 x cache.m5.xlarge,1486.08
2 x cache.m5.4xlarge,1488.96
61 x cache.t4g.micro,1493.2800000000002
16 x cache.m5.large,1497.6000000000001
29 x cache.t2.small,1503.36
29 x cache.t3.small,1503.36
58 x cache.t2.micro,1503.36
58 x cache.t3.micro,1503.36
31 x cache.t4g.small,1517.76
62 x cache.t4g.micro,1517.76
59 x cache.t2.micro,1529.2799999999997
59 x cache.t3.micro,1529.2799999999997
63 x cache.t4g.micro,1542.2400000000002
15 x cache.t3.medium,1555.1999999999996
30 x cache.t2.small,1555.1999999999996
30 x cache.t3.small,1555.1999999999996
60 x cache.t2.micro,1555.1999999999996
60 x cache.t3.micro,1555.1999999999996
16 x cache.t4g.medium,1566.72
32 x cache.t4g.small,1566.72
64 x cache.t4g.micro,1566.72
15 x cache.t2.medium,1576.8000000000002
61 x cache.t2.micro,1581.12
61 x cache.t3.micro,1581.12
11 x cache.r5.large,1584.0000000000002
17 x cache.m5.large,1591.2
65 x cache.t4g.micro,1591.2
31 x cache.t2.small,1607.04
31 x cache.t3.small,1607.04
62 x cache.t2.micro,1607.04
62 x cache.t3.micro,1607.04
33 x cache.t4g.small,1615.6800000000003
66 x cache.t4g.micro,1615.6800000000003
63 x cache.t2.micro,1632.9599999999998
63 x cache.t3.micro,1632.9599999999998
67 x cache.t4g.micro,1640.1599999999999
5 x cache.r6g.large,1648.8
7 x cache.m6g.large,1653.1200000000001
16 x cache.t3.medium,1658.8799999999997
32 x cache.t2.small,1658.8799999999997
32 x cache.t3.small,1658.8799999999997
64 x cache.t2.micro,1658.8799999999997
64 x cache.t3.micro,1658.8799999999997
17 x cache.t4g.medium,1664.64
34 x cache.t4g.small,1664.64
68 x cache.t4g.micro,1664.64
9 x cache.m5.xlarge,1671.8400000000001
16 x cache.t2.medium,1681.9199999999998
18 x cache.m5.large,1684.8
65 x cache.t2.micro,1684.8
65 x cache.t3.micro,1684.8
69 x cache.t4g.micro,1689.1200000000001
33 x cache.t2.small,1710.72
33 x cache.t3.small,1710.72
66 x cache.t2.micro,1710.72
66 x cache.t3.micro,1710.72
6 x cache.r5.xlarge,1710.7200000000003
35 x cache.t4g.small,1713.6000000000001
70 x cache.t4g.micro,1713.6000000000001
3 x cache.r5.2xlarge,1715.0400000000002
12 x cache.r5.large,1728.0000000000002
7 x cache.m5.large,1733.76
7 x cache.m4.large,1733.76
5 x cache.r5.large,1735.2
67 x cache.t2.micro,1736.6399999999999
67 x cache.t3.micro,1736.6399999999999
71 x cache.t4g.micro,1738.0800000000002
17 x cache.t3.medium,1762.56
34 x cache.t2.small,1762.56
34 x cache.t3.small,1762.56
68 x cache.t2.micro,1762.56
68 x cache.t3.micro,1762.56
18 x cache.t4g.medium,1762.5600000000004
36 x cache.t4g.small,1762.5600000000004
72 x cache.t4g.micro,1762.5600000000004
19 x cache.m5.large,1778.4
17 x cache.t2.medium,1787.04
73 x cache.t4g.micro,1787.0400000000002
69 x cache.t2.micro,1788.48
69 x cache.t3.micro,1788.48
37 x cache.t4g.small,1811.52
74 x cache.t4g.micro,1811.52
35 x cache.t2.small,1814.4
35 x cache.t3.small,1814.4
70 x cache.t2.micro,1814.4
70 x cache.t3.micro,1814.4
5 x cache.r4.large,1828.8
75 x cache.t4g.micro,1836.0
71 x cache.t2.micro,1840.3199999999997
71 x cache.t3.micro,1840.3199999999997
5 x cache.m5.2xlarge,1857.6000000000001
10 x cache.m5.xlarge,1857.6000000000001
19 x cache.t4g.medium,1860.4800000000002
38 x cache.t4g.small,1860.4800000000002
76 x cache.t4g.micro,1860.4800000000002
18 x cache.t3.medium,1866.2399999999998
36 x cache.t2.small,1866.2399999999998
36 x cache.t3.small,1866.2399999999998
72 x cache.t2.micro,1866.2399999999998
72 x cache.t3.micro,1866.2399999999998
13 x cache.r5.large,1872.0000000000002
20 x cache.m5.large,1872.0000000000002
1 x cache.m6g.4xlarge,1883.5200000000002
2 x cache.m6g.2xlarge,1883.5200000000002
4 x cache.m6g.xlarge,1883.5200000000002
77 x cache.t4g.micro,1884.9600000000003
8 x cache.m6g.large,1889.28
18 x cache.t2.medium,1892.1599999999996
73 x cache.t2.micro,1892.1599999999996
73 x cache.t3.micro,1892.1599999999996
39 x cache.t4g.small,1909.44
78 x cache.t4g.micro,1909.44
37 x cache.t2.small,1918.0799999999997
37 x cache.t3.small,1918.0799999999997
74 x cache.t2.micro,1918.0799999999997
74 x cache.t3.micro,1918.0799999999997
79 x cache.t4g.micro,1933.9200000000003
75 x cache.t2.micro,1944.0
75 x cache.t3.micro,1944.0
20 x cache.t4g.medium,1958.4
40 x cache.t4g.small,1958.4
80 x cache.t4g.micro,1958.4
21 x cache.m5.large,1965.6
19 x cache.t3.medium,1969.9199999999996
38 x cache.t2.small,1969.9199999999996
38 x cache.t3.small,1969.9199999999996
76 x cache.t2.micro,1969.9199999999996
76 x cache.t3.micro,1969.9199999999996
2 x cache.m4.2xlarge,1975.6800000000003
2 x cache.m5.2xlarge,1975.6800000000003
4 x cache.m5.xlarge,1975.6800000000003
4 x cache.m4.xlarge,1975.6800000000003
1 x cache.m4.4xlarge,1977.12
1 x cache.m5.4xlarge,1977.12
3 x cache.r6g.xlarge,1978.56
6 x cache.r6g.large,1978.56
8 x cache.m5.large,1981.44
8 x cache.m4.large,1981.44
81 x cache.t4g.micro,1982.88
77 x cache.t2.micro,1995.8399999999997
77 x cache.t3.micro,1995.8399999999997
7 x cache.r5.xlarge,1995.8400000000001
19 x cache.t2.medium,1997.2799999999997
41 x cache.t4g.small,2007.3600000000001
82 x cache.t4g.micro,2007.3600000000001
14 x cache.r5.large,2016.0
39 x cache.t2.small,2021.7599999999998
39 x cache.t3.small,2021.7599999999998
78 x cache.t2.micro,2021.7599999999998
78 x cache.t3.micro,2021.7599999999998
83 x cache.t4g.micro,2031.8400000000001
11 x cache.m5.xlarge,2043.36
79 x cache.t2.micro,2047.68
79 x cache.t3.micro,2047.68
21 x cache.t4g.medium,2056.32
42 x cache.t4g.small,2056.32
84 x cache.t4g.micro,2056.32
22 x cache.m5.large,2059.2000000000003
3 x cache.r5.xlarge,2073.6000000000004
20 x cache.t3.medium,2073.6000000000004
40 x cache.t2.small,2073.6000000000004
40 x cache.t3.small,2073.6000000000004
80 x cache.t2.micro,2073.6000000000004
80 x cache.t3.micro,2073.6000000000004
85 x cache.t4g.micro,2080.8
6 x cache.r5.large,2082.2400000000002
81 x cache.t2.micro,2099.52
81 x cache.t3.micro,2099.52
20 x cache.t2.medium,2102.4
43 x cache.t4g.small,2105.2800000000007
86 x cache.t4g.micro,2105.2800000000007
9 x cache.m6g.large,2125.44
41 x cache.t2.small,2125.44
41 x cache.t3.small,2125.44
82 x cache.t2.micro,2125.44
82 x cache.t3.micro,2125.44
87 x cache.t4g.micro,2129.76
83 x cache.t2.micro,2151.36
83 x cache.t3.micro,2151.36
23 x cache.m5.large,2152.8
22 x cache.t4g.medium,2154.24
44 x cache.t4g.small,2154.24
88 x cache.t4g.micro,2154.24
15 x cache.r5.large,2160.0
21 x cache.t3.medium,2177.2799999999997
42 x cache.t2.small,2177.2799999999997
42 x cache.t3.small,2177.2799999999997
84 x cache.t2.micro,2177.2799999999997
84 x cache.t3.micro,2177.2799999999997
89 x cache.t4g.micro,2178.7200000000003
3 x cache.r4.xlarge,2190.24
6 x cache.r4.large,2194.56
45 x cache.t4g.small,2203.2
85 x cache.t2.micro,2203.2
85 x cache.t3.micro,2203.2
90 x cache.t4g.micro,2203.2
21 x cache.t2.medium,2207.52
91 x cache.t4g.micro,2227.68
9 x cache.m5.large,2229.1199999999994
9 x cache.m4.large,2229.1199999999994
43 x cache.t2.small,2229.1199999999994
43 x cache.t3.small,2229.1199999999994
86 x cache.t2.micro,2229.1199999999994
86 x cache.t3.micro,2229.1199999999994
6 x cache.m5.2xlarge,2229.12
12 x cache.m5.xlarge,2229.12
3 x cache.m5.4xlarge,2233.44
1 x cache.m5.12xlarge,2246.3999999999996
24 x cache.m5.large,2246.3999999999996
23 x cache.t4g.medium,2252.16
46 x cache.t4g.small,2252.16
92 x cache.t4g.micro,2252.16
87 x cache.t2.micro,2255.04
87 x cache.t3.micro,2255.04
93 x cache.t4g.micro,2276.6400000000003
22 x cache.t3.medium,2280.96
44 x cache.t2.small,2280.96
44 x cache.t3.small,2280.96
88 x cache.t2.micro,2280.96
88 x cache.t3.micro,2280.96
8 x cache.r5.xlarge,2280.9600000000005
2 x cache.r5.4xlarge,2283.84
4 x cache.r5.2xlarge,2286.7200000000003
47 x cache.t4g.small,2301.1200000000003
94 x cache.t4g.micro,2301.1200000000003
16 x cache.r5.large,2304.0000000000005
89 x cache.t2.micro,2306.8799999999997
89 x cache.t3.micro,2306.8799999999997
7 x cache.r6g.large,2308.32
22 x cache.t2.medium,2312.64
95 x cache.t4g.micro,2325.6000000000004
45 x cache.t2.small,2332.7999999999997
45 x cache.t3.small,2332.7999999999997
90 x cache.t2.micro,2332.7999999999997
90 x cache.t3.micro,2332.7999999999997
25 x cache.m5.large,2340.0
24 x cache.t4g.medium,2350.0800000000004
48 x cache.t4g.small,2350.0800000000004
96 x cache.t4g.micro,2350.0800000000004
5 x cache.m6g.xlarge,2354.4
91 x cache.t2.micro,2358.72
91 x cache.t3.micro,2358.72
10 x cache.m6g.large,2361.6
97 x cache.t4g.micro,2374.56
23 x cache.t3.medium,2384.64
46 x cache.t2.small,2384.64
46 x cache.t3.small,2384.64
92 x cache.t2.micro,2384.64
92 x cache.t3.micro,2384.64
49 x cache.t4g.small,2399.04
98 x cache.t4g.micro,2399.04
93 x cache.t2.micro,2410.56
93 x cache.t3.micro,2410.56
13 x cache.m5.xlarge,2414.88
23 x cache.t2.medium,2417.7599999999993
99 x cache.t4g.micro,2423.52
7 x cache.r5.large,2429.2799999999997
26 x cache.m5.large,2433.6000000000004
47 x cache.t2.small,2436.48
47 x cache.t3.small,2436.48
94 x cache.t2.micro,2436.48
94 x cache.t3.micro,2436.48
17 x cache.r5.large,2448.0000000000005
25 x cache.t4g.medium,2448.0000000000005
50 x cache.t4g.small,2448.0000000000005
100 x cache.t4g.micro,2448.0000000000005
95 x cache.t2.micro,2462.4
95 x cache.t3.micro,2462.4
5 x cache.m5.xlarge,2469.6000000000004
5 x cache.m4.xlarge,2469.6000000000004
101 x cache.t4g.micro,2472.48
10 x cache.m5.large,2476.7999999999997
10 x cache.m4.large,2476.7999999999997
24 x cache.t3.medium,2488.3199999999997
48 x cache.t2.small,2488.3199999999997
48 x cache.t3.small,2488.3199999999997
96 x cache.t2.micro,2488.3199999999997
96 x cache.t3.micro,2488.3199999999997
51 x cache.t4g.small,2496.9600000000005
